image,IoU_Humano_IA_E3,IoU_Humano_IA_E6,IoU_Humano_IA_E7,IoU_IA_E3_IA_E6,IoU_IA_E3_IA_E7,IoU_IA_E6_IA_E7
NoF_UR_001.jpg,1.0,1.0,1.0,1.0,1.0,1.0
NoF_UR_002.jpg,0.0,0.0,0.0,1.0,1.0,1.0
NoF_UR_003.jpg,1.0,1.0,1.0,1.0,1.0,1.0
NoF_UR_004.jpg,1.0,1.0,1.0,1.0,1.0,1.0
NoF_UR_005.jpg,0.0,0.0,0.0,1.0,1.0,1.0
NoF_UR_006.jpg,1.0,1.0,1.0,1.0,1.0,1.0
NoF_UR_007.jpg,1.0,1.0,1.0,1.0,1.0,1.0
NoF_UR_008.jpg,1.0,1.0,1.0,1.0,1.0,1.0
NoF_UR_009.jpg,1.0,1.0,1.0,1.0,1.0,1.0
SHF_001.jpg,0.0716,0.0739,0.0737,0.9448,0.9344,0.9537
SHF_002.jpg,0.0,0.3874,0.4011,0.0,0.0,0.9044
SHF_003.jpg,1.0,0.0,0.0,0.0,0.0,0.8625
SHF_004.jpg,0.0,0.0,0.0,1.0,1.0,1.0
SHF_005.jpg,0.1311,0.1454,0.1473,0.871,0.8905,0.8423
SHF_006.jpg,0.1406,0.0,0.0,0.0,0.0,1.0
SHF_007.jpg,0.1356,0.1235,0.1375,0.8422,0.8325,0.857
SHF_008.jpg,0.2283,0.0,0.4568,0.0,0.4267,0.0
SHF_009.jpg,0.2839,0.287,0.3055,0.9341,0.9088,0.9329
SHF_010.jpg,0.1276,0.123,0.0951,0.9453,0.4752,0.4625
SHF_011.jpg,0.4032,0.3384,0.4824,0.3019,0.435,0.587
SHF_012.jpg,0.0,0.0305,0.0295,0.0,0.0,0.8685
SHF_013.jpg,1.0,1.0,1.0,1.0,1.0,1.0
SHF_014.jpg,0.8743,0.7809,0.8949,0.8137,0.9531,0.8118
SHF_015.jpg,1.0,0.0,0.0,0.0,0.0,0.8353
SHF_016.jpg,0.0,0.0,0.0,0.9224,0.9439,0.9078
SHF_017.jpg,0.596,0.6132,0.5945,0.8679,0.9639,0.9004
SHF_018.jpg,0.0778,0.0855,0.0884,0.8969,0.8212,0.8617
SHF_019.jpg,1.0,0.0,1.0,0.0,1.0,0.0
SHF_020.jpg,0.0,0.0,0.0,1.0,1.0,1.0
SHF_021.jpg,0.0,0.0271,0.0,0.0,1.0,0.0
SHF_022.jpg,0.2532,0.251,0.2604,0.9033,0.8716,0.9176
SHF_023.jpg,0.0,0.0,0.0,0.9343,0.8395,0.8803
SHF_024.jpg,0.0913,0.0968,0.2748,0.876,0.4335,0.4363
SHF_025.jpg,0.3509,0.3493,0.3684,0.4463,0.4681,0.9256
SHF_026.jpg,0.1005,0.0963,0.1045,0.92,0.9618,0.9218
UR_001.jpg,1.0,1.0,0.0,1.0,0.0,0.0
UR_002.png,0.0,0.0,0.0,0.8369,0.4087,0.4491
UR_003.png,0.0,0.0,0.0,0.8495,0.74,0.7227
UR_004.png,0.2738,0.271,0.2774,0.9037,0.9141,0.9569
UR_005.png,0.1933,0.1966,0.3115,0.8538,0.4732,0.4343
UR_006.png,0.4175,0.3666,0.3782,0.5404,0.8414,0.603
UR_007.png,0.0,0.0,0.0,0.0,1.0,0.0
UR_008.png,0.0,0.0,0.0,1.0,0.0,0.0
UR_009.png,1.0,0.0,0.0,0.0,0.0,0.8175
UR_010.png,0.5773,0.5728,0.6,0.8774,0.9178,0.9238
UR_011.png,0.8937,0.786,0.9113,0.8658,0.9417,0.8461
UR_012.png,0.6694,0.8108,0.8068,0.7769,0.7799,0.9095
UR_013.png,0.0,0.1412,0.1091,0.0,0.0,0.3747
UR_014.png,0.6764,0.4672,0.5548,0.6907,0.8203,0.7891
UR_015.png,0.3592,0.3661,0.3763,0.928,0.9445,0.9178
UR_016.png,0.3381,0.7161,0.6896,0.4333,0.4434,0.8583
UR_017.png,0.263,0.2535,0.2743,0.7824,0.7568,0.9093
UR_018.png,0.6566,0.5193,0.5316,0.7707,0.7492,0.8488
UR_019.png,0.5051,0.4507,0.362,0.8726,0.7166,0.8031
UR_020.png,0.4094,0.4559,0.3961,0.8982,0.8811,0.8498
UR_021.png,0.4442,0.1528,0.1502,0.4663,0.4582,0.9364
UR_022.png,0.406,0.4401,0.4239,0.8677,0.855,0.8985
UR_023.png,0.5281,0.5587,0.3951,0.8976,0.5555,0.5696
UR_024.png,1.0,1.0,0.0,1.0,0.0,0.0
UR_025.png,0.0,0.0,0.2394,1.0,0.0,0.0
UR_026.png,0.3915,0.412,0.4353,0.8781,0.8482,0.892
UR_027.png,0.6176,0.5347,0.5992,0.8377,0.9029,0.8416
UR_028.png,0.2128,0.2375,0.2391,0.8575,0.7649,0.8911
UR_029.png,0.0,1.0,0.0,0.0,0.6753,0.0
UR_030.png,1.0,1.0,1.0,1.0,1.0,1.0
UR_031.png,0.0,0.0,0.0,1.0,1.0,1.0
UR_032.png,1.0,1.0,1.0,1.0,1.0,1.0
UR_033.png,0.4538,0.4178,0.4491,0.8555,0.9016,0.8739
UR_034.png,1.0,1.0,1.0,1.0,1.0,1.0
UR_035.png,0.3099,0.0,0.3056,0.0,0.8469,0.0
UR_036.png,0.0,0.0,0.0494,1.0,0.0,0.0
WRI_001.png,0.0,0.0,0.0,0.7331,0.4587,0.3652
WRI_002.png,0.0,0.0,0.0,1.0,1.0,1.0
WRI_003.png,0.0,0.0,0.0,1.0,1.0,1.0
WRI_004.png,0.0,0.4666,0.0,0.0,1.0,0.0
WRI_005.png,0.2164,0.0,0.1827,0.0,0.6916,0.0
WRI_006.png,0.0,0.0,0.0,1.0,1.0,1.0
WRI_007.png,0.0,0.0,0.0,1.0,1.0,1.0
WRI_008.png,0.0,0.0,0.0,0.8477,0.8958,0.8771
WRI_009.png,0.0,0.0,0.0,1.0,1.0,1.0
WRI_010.png,1.0,1.0,1.0,1.0,1.0,1.0
WRI_011.png,1.0,1.0,1.0,1.0,1.0,1.0
WRI_012.png,0.0,0.3156,0.0,0.0,1.0,0.0
WRI_013.png,0.3934,0.392,0.4441,0.9343,0.7859,0.7433
WRI_014.png,0.0,0.0,0.0,1.0,1.0,1.0
WRI_015.png,0.4755,0.4047,0.0,0.7902,0.0,0.0
WRI_016.png,0.0,0.0,0.0,1.0,1.0,1.0
WRI_017.png,0.4709,0.5388,0.3719,0.8584,0.4442,0.4523
WRI_018.png,1.0,1.0,1.0,1.0,1.0,1.0
WRI_019.png,0.0,0.0,0.0,0.8752,0.7964,0.8682
WRI_020.png,1.0,1.0,1.0,1.0,1.0,1.0
WRI_021.png,0.4448,0.3718,0.3781,0.5531,0.6262,0.8313
WRI_022.png,0.0,0.0,0.0,1.0,1.0,1.0
WRI_023.png,1.0,1.0,1.0,1.0,1.0,1.0
WRI_024.png,0.4282,0.498,0.5207,0.8489,0.8204,0.8725
WRI_025.png,0.1874,0.2039,0.2079,0.9021,0.8138,0.8942
WRI_026.png,0.4756,0.0,0.2137,0.0,0.4018,0.0
WRI_027.png,0.0,0.0,0.0,1.0,1.0,1.0
WRI_028.png,0.278,0.3165,0.3368,0.8783,0.8111,0.9181
WRI_029.png,1.0,1.0,1.0,1.0,1.0,1.0
WRI_030.png,0.2451,0.2241,0.0,0.8184,0.0,0.0
