image,IoU_Humano_IA_E3,IoU_Humano_IA_E6,IoU_Humano_IA_E7,IoU_Humano_Usuario_R1,IoU_IA_E3_IA_E6,IoU_IA_E3_IA_E7,IoU_IA_E3_Usuario_R1,IoU_IA_E6_IA_E7,IoU_IA_E6_Usuario_R1,IoU_IA_E7_Usuario_R1
NoF_UR_001.jpg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NoF_UR_002.jpg,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
NoF_UR_003.jpg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NoF_UR_004.jpg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NoF_UR_005.jpg,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
NoF_UR_006.jpg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NoF_UR_007.jpg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NoF_UR_008.jpg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NoF_UR_009.jpg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SHF_001.jpg,0.0837,0.0897,0.0789,0.565,0.915,0.9268,0.0762,0.9456,0.0742,0.0671
SHF_002.jpg,0.3496,0.368,0.3992,0.2841,0.92,0.8663,0.3174,0.9253,0.3373,0.3598
SHF_003.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9147,0.216,0.2145
SHF_004.jpg,0.0918,0.052,0.053,0.5691,0.866,0.8988,0.1117,0.9344,0.0574,0.062
SHF_005.jpg,0.1285,0.1365,0.1386,0.0,0.9167,0.9097,0.2107,0.9796,0.2238,0.2272
SHF_006.jpg,0.1486,0.1473,0.1515,0.3947,0.8961,0.969,0.2368,0.9234,0.2303,0.2388
SHF_007.jpg,0.1356,0.1424,0.1377,0.0413,0.8286,0.8929,0.0925,0.8491,0.1092,0.1008
SHF_008.jpg,0.2375,0.2287,0.4749,0.2929,0.8584,0.4546,0.1034,0.4661,0.1053,0.2121
SHF_009.jpg,0.2766,0.2894,0.295,0.2504,0.9558,0.9378,0.1744,0.9599,0.179,0.1834
SHF_010.jpg,0.1038,0.1172,0.1268,0.4074,0.8857,0.8181,0.2428,0.9237,0.2715,0.2867
SHF_011.jpg,0.4754,0.4048,0.4322,0.186,0.8452,0.8497,0.0932,0.9261,0.0797,0.086
SHF_012.jpg,0.0134,0.0257,0.0241,0.2919,0.871,0.8697,0.0456,0.957,0.0676,0.0651
SHF_013.jpg,0.0,0.0,0.0,0.0,0.9551,0.9394,0.3461,0.9475,0.3567,0.3627
SHF_014.jpg,0.8841,0.8483,0.8602,0.3738,0.9302,0.9558,0.3654,0.9371,0.3777,0.381
SHF_015.jpg,0.0,0.0,0.0,0.0,0.8789,0.8794,0.0598,0.9591,0.0525,0.0447
SHF_016.jpg,0.0,0.0,0.0,1.0,0.8485,0.8831,0.0,0.9608,0.0,0.0
SHF_017.jpg,0.5757,0.6046,0.6064,0.3164,0.8641,0.8963,0.2528,0.9543,0.2892,0.282
SHF_018.jpg,0.0752,0.0836,0.0847,0.0798,0.8992,0.8908,0.2144,0.9401,0.2382,0.228
SHF_019.jpg,0.0,0.0,0.0,1.0,0.8901,0.8998,0.0,0.8873,0.0,0.0
SHF_020.jpg,0.097,0.0937,0.0985,0.3001,0.8487,0.8525,0.2153,0.8836,0.2414,0.2525
SHF_021.jpg,0.0134,0.0229,0.0152,0.0159,0.9309,0.9324,0.1461,0.9058,0.1467,0.1809
SHF_022.jpg,0.2478,0.2925,0.2394,0.1271,0.8345,0.8784,0.0919,0.754,0.1072,0.0899
SHF_023.jpg,0.0,0.0,0.0,0.0,0.9299,0.9608,0.1509,0.9245,0.1657,0.1534
SHF_024.jpg,0.0964,0.0955,0.1028,0.2949,0.9325,0.8855,0.0894,0.8807,0.0915,0.0977
SHF_025.jpg,0.3544,0.3519,0.36,0.3079,0.9713,0.9293,0.1455,0.9538,0.1496,0.1566
SHF_026.jpg,0.0807,0.0909,0.0961,0.0671,0.887,0.8391,0.1954,0.946,0.2203,0.2328
UR_001.jpg,0.0,0.0,1.0,1.0,0.4286,0.0,0.0,0.0,0.0,1.0
UR_002.png,0.0,0.0,0.0,0.0,0.8999,0.6743,0.4112,0.7458,0.3939,0.3609
UR_003.png,0.0,0.0,0.0,0.0,0.9042,0.5699,0.1904,0.6,0.1854,0.3029
UR_004.png,0.3107,0.3001,0.2723,0.5136,0.9644,0.8766,0.3019,0.9074,0.3095,0.3372
