image,IoU_Experto_Radiologo_R1_Radiologia,IoU_Experto_Radiologo_Usuario_Control,IoU_Experto_Radiologo_E5,IoU_Experto_Radiologo_E6,IoU_Experto_Radiologo_E7,IoU_Experto_Radiologo_ModeloEspecialista,IoU_R1_Radiologia_Usuario_Control,IoU_R1_Radiologia_E5,IoU_R1_Radiologia_E6,IoU_R1_Radiologia_E7,IoU_R1_Radiologia_ModeloEspecialista,IoU_Usuario_Control_E5,IoU_Usuario_Control_E6,IoU_Usuario_Control_E7,IoU_Usuario_Control_ModeloEspecialista
NoF_UR_001.jpg,,,,,,,,,,,,,,,
NoF_UR_002.jpg,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
NoF_UR_003.jpg,,,,,,,,,,,,,,,
NoF_UR_004.jpg,,,,,,,,,,,,,,,
NoF_UR_005.jpg,,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
NoF_UR_006.jpg,,,,,,,,,,,,,,,
NoF_UR_007.jpg,,,,,,,,,,,,,,,
NoF_UR_008.jpg,,,,,,,,,,,,,,,
NoF_UR_009.jpg,,,0.0,,,,,0.0,,,,0.0,,,
SHF_001.jpg,0.0,0.0,0.1855,0.1994,0.1971,0.1602,0.565,0.061,0.0742,0.0671,0.1042,0.0718,0.0897,0.0789,0.101
SHF_002.jpg,0.1557,0.143,0.3533,0.3592,0.326,0.4161,0.2841,0.3234,0.3373,0.3598,0.2399,0.3638,0.368,0.3992,0.2648
SHF_003.jpg,0.0,,0.0,0.0,0.0,,0.0,0.2184,0.216,0.2145,0.0,0.0,0.0,0.0,
SHF_004.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.5691,0.1097,0.0574,0.062,0.1531,0.0842,0.052,0.053,0.1112
SHF_005.jpg,0.2819,0.0927,0.4854,0.4685,0.4747,0.4564,0.0,0.2235,0.2238,0.2272,0.1977,0.1363,0.1365,0.1386,0.1206
SHF_006.jpg,0.291,0.4877,0.1908,0.1998,0.2054,0.1835,0.3947,0.2248,0.2303,0.2388,0.2163,0.1407,0.1473,0.1515,0.1353
SHF_007.jpg,0.0,0.1523,0.3631,0.3109,0.3517,0.3642,0.0413,0.0933,0.1092,0.1008,0.0914,0.163,0.1424,0.1377,0.1265
SHF_008.jpg,0.0027,0.0306,0.0062,0.0054,0.0048,0.0,0.2929,0.2089,0.1402,0.2121,0.0,0.4374,0.2287,0.4749,0.0
SHF_009.jpg,0.061,0.4897,0.2909,0.2688,0.2758,0.2492,0.2504,0.1914,0.179,0.1834,0.1621,0.2962,0.2894,0.295,0.2406
SHF_010.jpg,0.6953,0.4135,0.3045,0.2827,0.2974,0.2635,0.4074,0.2927,0.2715,0.2867,0.255,0.1272,0.1172,0.1268,0.109
SHF_011.jpg,0.1659,0.4867,0.4032,0.3941,0.4255,0.3466,0.186,0.0815,0.0797,0.086,0.0701,0.404,0.4048,0.4322,0.3767
SHF_012.jpg,0.1541,0.071,0.1781,0.1455,0.1397,0.172,0.2919,0.0719,0.0676,0.0651,0.0758,0.0521,0.0715,0.0742,0.055
SHF_013.jpg,0.0,0.0,0.007,0.0017,0.0,0.0,0.0,0.2835,0.3567,0.3627,0.0,0.0,0.0,0.0,
SHF_014.jpg,0.2662,0.2535,0.2511,0.2527,0.2529,0.2244,0.3738,0.3747,0.3777,0.381,0.3231,0.8225,0.8483,0.8602,0.816
